Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"13/06/2020 8:30 AM",81523,85125
Belarus,"13/06/2020 8:30 AM",52520,53212
Brazil,"13/06/2020 8:30 AM",829902,854383
Canada,"13/06/2020 8:30 AM",97943,98342
Chile,"13/06/2020 8:30 AM",160846,167880
Colombia,"13/06/2020 8:30 AM",46858,48474
Ecuador,"13/06/2020 8:30 AM",45778,47161
Egypt,"13/06/2020 8:30 AM",41303,42941
Germany,"13/06/2020 8:30 AM",187251,187638
India,"13/06/2020 8:30 AM",309603,321289
Indonesia,"13/06/2020 8:30 AM",36406,37543
Iran,"13/06/2020 8:30 AM",182525,184923
Italy,"13/06/2020 8:30 AM",236305,236458
Kuwait,"13/06/2020 8:30 AM",34952,35431
Mexico,"13/06/2020 8:30 AM",133974,138941
Pakistan,"13/06/2020 8:30 AM",125933,132661
Peru,"13/06/2020 8:30 AM",220749,226812
Qatar,"13/06/2020 8:30 AM",76588,78083
Russia,"13/06/2020 8:30 AM",511423,520322
"Saudi Arabia","13/06/2020 8:30 AM",119942,123971
Singapore,"13/06/2020 8:30 AM",39850,40304
"South Africa","13/06/2020 8:30 AM",61927,65484
Spain,"13/06/2020 8:30 AM",290289,291035
Sweden,"13/06/2020 8:30 AM",49684,51125
Turkey,"13/06/2020 8:30 AM",175218,176416
UAE,"13/06/2020 8:30 AM",41499,42000
UK,"13/06/2020 8:30 AM",292950,294442
USA,"13/06/2020 8:30 AM",2116922,2144317
